cohort allele allele_count all_alleles_count
9 3 33 223
9 3 34 59
9 3 35 12
9 3 36 2
9 4 29 1
9 4 30 3
9 4 31 16
9 4 32 99
9 4 33 348
9 4 34 1106
9 4 35 3375
9 4 36 7959
9 4 37 17034
9 4 38 31596
9 4 39 52777
9 4 40 76905
9 4 41 100561
9 4 42 118861
9 4 43 125868
9 4 44 122175
9 4 45 106525
9 4 46 84496
9 4 47 61536
9 4 48 39834
9 4 49 24169
9 4 50 13231
9 4 51 6689
9 4 52 3020
9 4 53 1177
9 4 54 435
9 4 55 150
9 4 56 42
9 4 57 8
9 4 58 4
9 5 2 690
9 5 3 6236
9 5 4 25779
9 5 5 66247
9 5 6 119701
9 5 7 163979
9 5 8 179036
9 5 9 161056
9 5 10 122821
9 5 11 79372
9 5 12 43438
9 5 13 20320
9 5 14 7927
9 5 15 2598
9 5 16 648
9 5 17 133
9 5 18 17
9 5 19 2
9 6 13 1973
9 6 14 17643
9 6 15 70742
9 6 16 163473
9 6 17 246264
9 6 18 245815
9 6 19 163917
9 6 20 70598
9 6 21 17702
9 6 22 1873
9 7 31 487
9 7 32 5518
9 7 33 26812
9 7 34 80472
9 7 35 160770
9 7 36 226143
9 7 37 226560
9 7 38 160536
9 7 39 79878
9 7 40 26978
9 7 41 5358
9 7 42 488
9 8 28 124647
9 8 29 375347
9 8 30 374886
9 8 31 125120
9 9 45 125186
9 9 46 374871
9 9 47 375056
9 9 48 124887
9 10 11 1000000
9 11 17 1000000
9 12 27 1000000
9 13 31 1000000
9 14 11 1000000
9 15 24 1000000
9 16 4 1000000
10 0 12 1
10 1 162 6
10 1 163 15
10 1 164 45
10 1 165 92
10 1 166 220
10 1 167 488
10 1 168 896
10 1 169 1627
10 1 170 3011
10 1 171 5163
10 1 172 8477
10 1 173 13242
10 1 174 19691
10 1 175 27734
10 1 176 37636
10 1 177 48721
10 1 178 59563
10 1 179 69831
10 1 180 78060
10 1 181 83333
10 1 182 85657
10 1 183 83344
10 1 184 77579
10 1 185 69773
10 1 186 58956
10 1 187 48166
10 1 188 37597
10 1 189 27641
10 1 190 19695
10 1 191 13397
10 1 192 8517
10 1 193 5373
10 1 194 2960
10 1 195 1765
10 1 196 866
10 1 197 449
10 1 198 235
10 1 199 110
10 1 200 35
10 1 201 22
10 1 202 7
10 1 203 4
10 1 204 1
10 2 6 6
10 2 7 52
10 2 8 482
10 2 9 2307
10 2 10 8356
10 2 11 22761
10 2 12 48429
10 2 13 84115
10 2 14 120992
10 2 15 146244
10 2 16 152291
10 2 17 138252
10 2 18 109021
10 2 19 76045
10 2 20 46628
10 2 21 25100
10 2 22 11777
10 2 23 4828
10 2 24 1673
10 2 25 497
10 2 26 118
10 2 27 23
10 2 28 3
10 3 6 1
10 3 7 13
10 3 8 223
10 3 9 1144
10 3 10 4515
10 3 11 13762
10 3 12 32489
10 3 13 63214
10 3 14 101145
10 3 15 136288
10 3 16 155073
10 3 17 151003
10 3 18 128446
10 3 19 93483
10 3 20 59838
10 3 21 33419
10 3 22 16133
10 3 23 6590
10 3 24 2336
10 3 25 694
10 3 26 162
10 3 27 24
10 3 28 4
10 3 29 1
10 4 20 1
10 4 21 16
10 4 22 128
10 4 23 552
10 4 24 2310
10 4 25 7173
10 4 26 18040
10 4 27 37391
10 4 28 66688
10 4 29 99329
10 4 30 129150
10 4 31 145321
10 4 32 142673
10 4 33 123241
10 4 34 94346
10 4 35 62838
10 4 36 37700
10 4 37 19417
10 4 38 8775
10 4 39 3397
10 4 40 1112
10 4 41 314
10 4 42 78
10 4 43 8
10 4 44 1
10 4 45 1
10 5 5 33217
10 5 6 140086
10 5 7 242175
10 5 8 234400
10 5 9 168125
10 5 10 109818
10 5 11 54324
10 5 12 15895
10 5 13 1960
10 6 6 1947
10 6 7 17499
10 6 8 70611
10 6 9 164024
10 6 10 246665
10 6 11 246365
10 6 12 163874
10 6 13 69632
10 6 14 17422
10 6 15 1961
10 7 19 1
10 7 20 10
10 7 21 104
10 7 22 614
10 7 23 2757
10 7 24 9706
10 7 25 25733
10 7 26 55355
10 7 27 96885
10 7 28 140311
10 7 29 167897
10 7 30 168537
10 7 31 140320
10 7 32 97180
10 7 33 55373
10 7 34 25730
10 7 35 9818
10 7 36 2902
10 7 37 672
10 7 38 88
10 7 39 7
10 8 13 31256
10 8 14 156650
10 8 15 311841
10 8 16 311738
10 8 17 156871
10 8 18 31644
10 9 21 15735
10 9 22 93886
10 9 23 233800
10 9 24 313055
10 9 25 234594
10 9 26 93466
10 9 27 15464
10 10 12 1000000
10 11 3 500489
10 11 4 499511
10 12 20 250027
10 12 21 500370
10 12 22 249603
10 13 29 1000000
10 14 9 1000000
10 15 19 1000000
10 16 8 1000000
10 17 5 1000000
11 0 2 1
11 0 101 1
11 1 93 1
11 1 140 1
11 1 141 5
11 1 142 3
11 1 143 23
11 1 144 51
11 1 145 122
11 1 146 244
11 1 147 502
11 1 148 1032
11 1 149 1842
11 1 150 3363
11 1 151 5666
11 1 152 9212
11 1 153 14243
11 1 154 20753
11 1 155 29264
11 1 156 39389
11 1 157 49639
11 1 158 60606
11 1 159 70446
11 1 160 78689
11 1 161 83633
11 1 162 84376
11 1 163 82975
11 1 164 76111
11 1 165 67806
11 1 166 57839
11 1 167 46748
11 1 168 36126
11 1 169 27050
11 1 170 19241
11 1 171 12947
11 1 172 8308
11 1 173 5187
11 1 174 3027
11 1 175 1741
11 1 176 909
11 1 177 486
11 1 178 231
11 1 179 95
11 1 180 39
11 1 181 19
11 1 182 8
11 1 183 2
11 2 7 54
11 2 8 563
11 2 9 3431
11 2 10 13231
11 2 11 35685
11 2 12 72125
11 2 13 115301
11 2 14 149654
11 2 15 162903
11 2 16 151163
11 2 17 120216
11 2 18 82540
11 2 19 49611
11 2 20 25600
11 2 21 11540
11 2 22 4420
11 2 23 1462
11 2 24 403
11 2 25 82
11 2 26 14
11 2 27 2
11 3 2 5
11 3 3 33
11 3 4 159
11 3 5 846
11 3 6 3094
11 3 7 8936
11 3 8 21645
11 3 9 43102
11 3 10 71860
11 3 11 104093
11 3 12 130304
11 3 13 142687
11 3 14 136744
11 3 15 116786
11 3 16 88423
11 3 17 59710
11 3 18 35944
11 3 19 19543
11 3 20 9552
11 3 21 4175
11 3 22 1611
11 3 23 535
11 3 24 156
11 3 25 43
11 3 26 11
11 3 27 2
11 3 28 1
11 4 15 4
11 4 16 16
11 4 17 90
11 4 18 354
11 4 19 1217
11 4 20 3440
11 4 21 8522
11 4 22 18037
11 4 23 34475
11 4 24 56474
11 4 25 82798
11 4 26 108240
