cohort allele allele_count all_alleles_count
11 1 140 80605
11 1 141 57983
11 1 142 37921
11 1 143 22492
11 1 144 11991
11 1 145 5786
11 1 146 2484
11 1 147 928
11 1 148 313
11 1 149 102
11 1 150 27
11 1 151 6
11 1 152 1
11 1 153 1
11 2 14 31533
11 2 15 125069
11 2 16 218883
11 2 17 250793
11 2 18 217982
11 2 19 124715
11 2 20 31025
11 3 1 16
11 3 2 226
11 3 3 1759
11 3 4 8401
11 3 5 27655
11 3 6 66818
11 3 7 122535
11 3 8 174238
11 3 9 195672
11 3 10 174666
11 3 11 122736
11 3 12 66561
11 3 13 28112
11 3 14 8449
11 3 15 1925
11 3 16 214
11 3 17 17
11 4 17 1
11 4 21 2
11 4 22 21
11 4 23 326
11 4 24 1969
11 4 25 7205
11 4 26 21227
11 4 27 48654
11 4 28 88048
11 4 29 131932
11 4 30 162620
11 4 31 167118
11 4 32 145093
11 4 33 105545
11 4 34 64995
11 4 35 33506
11 4 36 14841
11 4 37 5138
11 4 38 1408
11 4 39 292
11 4 40 52
11 4 41 7
11 5 1 234283
11 5 2 304897
11 5 3 218200
11 5 4 117835
11 5 5 46880
11 5 6 7656
11 6 16 1
11 6 17 125153
11 6 18 374883
11 6 19 375350
11 6 20 124613
11 7 3 124828
11 7 4 374768
11 7 5 375220
11 7 6 125184
11 8 8 1
11 8 11 250055
11 8 12 499159
11 8 13 250785
11 9 17 3843
11 9 18 31375
11 9 19 109478
11 9 20 218535
11 9 21 273041
11 9 22 219582
11 9 23 109320
11 9 24 30996
11 9 25 3830
11 10 8 1000000
11 11 4 250121
11 11 5 499921
11 11 6 249958
11 12 15 124932
11 12 16 375731
11 12 17 375086
11 12 18 124251
11 13 12 62232
11 13 13 250347
11 13 14 374428
11 13 15 250458
11 13 16 62535
11 14 9 1000000
11 15 18 1000000
11 16 21 125229
11 16 22 374587
11 16 23 375006
11 16 24 125178
11 17 29 1000000
11 18 2 1000000
11 19 7 1000000
11 20 1 1000000
12 0 18 1
12 0 283 1
12 1 21 1
12 1 169 1
12 1 170 1
12 1 171 3
12 1 172 4
12 1 173 9
12 1 174 17
12 1 175 28
12 1 176 99
12 1 177 165
12 1 178 260
12 1 179 522
12 1 180 865
12 1 181 1500
12 1 182 2388
12 1 183 3701
12 1 184 5550
12 1 185 8251
12 1 186 11688
12 1 187 15635
12 1 188 20732
12 1 189 26927
12 1 190 33100
12 1 191 40359
12 1 192 47177
12 1 193 54390
12 1 194 59495
12 1 195 64568
12 1 196 67537
12 1 197 68552
12 1 198 67401
12 1 199 64488
12 1 200 60398
12 1 201 54424
12 1 202 48126
12 1 203 40325
12 1 204 33499
12 1 205 26888
12 1 206 20796
12 1 207 15906
12 1 208 11411
12 1 209 8147
12 1 210 5486
12 1 211 3697
12 1 212 2336
12 1 213 1335
12 1 214 817
12 1 215 485
12 1 216 273
12 1 217 131
12 1 218 50
12 1 219 25
12 1 220 15
12 1 221 11
12 1 222 4
12 1 223 1
12 2 9 1
12 2 21 18
12 2 22 173
12 2 23 1034
12 2 24 3454
12 2 25 9042
12 2 26 17803
12 2 27 30555
12 2 28 46606
12 2 29 63902
12 2 30 80831
12 2 31 95338
12 2 32 103599
12 2 33 105655
12 2 34 101065
12 2 35 91434
12 2 36 77216
12 2 37 60791
12 2 38 44424
12 2 39 30327
12 2 40 18712
12 2 41 10522
12 2 42 4891
12 2 43 1924
12 2 44 559
12 2 45 107
12 2 46 17
12 3 3 7
12 3 4 122
12 3 5 928
12 3 6 3864
12 3 7 12406
12 3 8 29209
12 3 9 55194
12 3 10 85497
12 3 11 113364
12 3 12 133622
12 3 13 138824
12 3 14 132175
12 3 15 110202
12 3 16 80383
12 3 17 52424
12 3 18 29172
12 3 19 14265
12 3 20 5884
12 3 21 1909
12 3 22 451
12 3 23 86
12 3 24 12
12 4 19 1
12 4 24 1
12 4 25 4
12 4 26 31
12 4 27 138
12 4 28 540
12 4 29 1737
12 4 30 4368
12 4 31 9857
12 4 32 19389
12 4 33 32896
12 4 34 50364
12 4 35 70792
12 4 36 89914
12 4 37 105696
12 4 38 114856
12 4 39 114951
12 4 40 105404
12 4 41 89969
12 4 42 70229
12 4 43 50574
12 4 44 32598
