Indiv	NatalYear	CoreNestling	ImmCohort	InclBr
1433-87595	NA	N	NA	N
1433-87596	NA	N	NA	N
1433-87597	NA	N	NA	Y
1433-87602	NA	N	NA	N
1433-87604	NA	N	NA	Y
1433-87606	NA	N	NA	N
1433-87608	NA	N	NA	N
1433-87617	NA	N	NA	N
1433-87622	NA	N	NA	N
1433-87623	NA	N	NA	N
1433-87640	NA	N	NA	N
1433-87646	NA	N	NA	N
1433-87659	NA	N	NA	N
1433-92044	NA	N	NA	N
1433-92930	NA	N	NA	N
1433-92938	NA	N	NA	N
1433-92944	NA	N	NA	N
1433-92946	NA	N	NA	N
1433-92948	NA	N	NA	N
1433-92951	NA	N	NA	N
1433-93031	NA	N	NA	N
1433-93041	NA	N	NA	N
1433-93116	NA	N	NA	N
1433-93121	NA	N	NA	N
1433-93151	NA	N	NA	N
1433-93152	NA	N	NA	N
1433-93163	NA	N	NA	Y
1433-93183	NA	N	NA	N
1433-93185	NA	N	NA	N
1433-93186	NA	N	NA	N
1433-93187	NA	N	NA	N
1433-93193	NA	N	NA	N
1433-93198	NA	N	NA	N
1453-38904	1990	N	NA	N
1453-38905	1990	N	NA	N
1453-38909	1990	N	NA	N
1453-38910	1990	N	NA	N
1453-38911	1990	N	NA	N
1453-38912	1990	N	NA	Y
1453-38916	1990	N	NA	Y
1453-38917	1990	N	NA	N
1453-38922	NA	N	NA	Y
1453-38923	1990	N	NA	Y
1453-38924	1990	N	NA	N
1453-38925	1990	N	NA	N
1453-38926	1990	N	NA	N
1453-38927	1990	N	NA	N
1453-38928	1990	N	NA	N
1453-38930	1990	N	NA	N
1453-38931	1990	N	NA	N
1453-38932	1990	N	NA	N
1453-38933	1990	N	NA	N
1453-38935	1990	N	NA	N
1453-38938	1990	Y	NA	N
1453-38939	1990	Y	NA	N
1453-38940	1990	Y	NA	N
1453-38940.1	1990	Y	NA	N
1453-38942	NA	N	NA	Y
1453-38943	1990	N	NA	N
1453-38944	1990	N	NA	N
1453-38945	1990	N	NA	N
1453-38946	1990	N	NA	N
1453-38947	1990	N	NA	N
1453-38952	NA	N	NA	Y
1453-38956	1990	Y	NA	N
1453-38957	1990	Y	NA	N
1453-38958	1990	Y	NA	N
1453-38959	1990	Y	NA	N
1453-38970	1990	N	NA	Y
1453-38984	NA	N	NA	Y
1453-38985	NA	N	NA	Y
1453-38986	NA	N	NA	Y
1453-38987	1990	N	NA	N
1453-38988	1990	N	NA	N
1453-38989	1990	N	NA	N
1453-38990	1990	N	NA	N
1453-38991	1990	Y	NA	N
1453-38992	1990	Y	NA	N
1453-38993	1990	Y	NA	N
1453-39000	NA	N	NA	Y
1453-39001	NA	N	NA	Y
1453-39002	NA	N	NA	Y
1453-39003	1990	Y	NA	Y
1453-39005	NA	N	NA	Y
1453-39007	NA	N	NA	Y
