Indiv Status
1053-56559 0
1053-56561 0
1053-56564 0
1053-56565 0
1053-56566 0
1053-56571 0
1053-56573 0
1053-56591 0
1053-56592 0
1053-56601 0
1053-56602 0
1053-56603 0
1053-56607 0
1053-56610 0
1053-56624 0
1053-56632 0
1053-56638 0
1053-56642 0
1053-56660 0
1053-56664 0
1053-56665 0
1053-56671 0
1053-56672 0
1053-56686 0
1053-56687 0
1053-56692 0
1053-56708 0
1053-56711 0
1053-56723 0
1053-56724 0
1053-56725 0
1053-56726 0
1053-56728 0
1053-56729 0
1053-56730 0
1053-56731 0
1053-56732 0
1053-56733 0
1053-56734 0
1053-56735 0
1053-56736 0
1053-56737 0
1053-56738 0
1053-56739 0
1053-56740 0
1053-56741 0
1053-56742 0
1053-56743 0
1053-56744 0
1053-56745 0
1053-56746 0
1053-56747 0
1053-56748 0
1053-56749 0
1053-56750 0
1053-56751 0
1053-56752 0
1053-56753 0
1053-56754 0
1053-56755 0
1053-56756 0
1053-56757 0
1053-56758 0
1053-56759 0
1053-56760 0
1053-56761 0
1053-56762 0
1053-56763 0
1053-56764 0
1053-56765 0
1053-56766 0
1053-56767 0
1053-56768 0
1053-56769 0
1053-56770 0
1053-56771 0
1053-56772 0
1053-56773 0
1053-56774 0
1053-56775 0
1053-56776 0
1053-56777 0
1053-56778 0
1053-56779 0
1053-56780 0
1053-56782 0
1053-56783 0
1053-56784 0
1053-56785 0
1053-56786 0
1053-56787 0
1053-56788 0
1053-56789 0
1053-56790 0
1053-56791 0
1053-56792 0
1053-56794 0
1053-56795 0
1053-56796 0
1053-56797 0
1053-56798 0
1053-56799 0
1053-56800 0
1063-42801 0
1063-42802 0
1063-42803 0
1063-42804 0
1063-42805 0
1063-42806 0
1063-42807 0
1063-42808 0
1063-42809 0
1063-42810 0
1063-42811 0
1063-42813 0
1063-42814 0
1063-42815 0
1063-42816 1
1063-42817 0
1063-42818 0
1063-42819 0
1063-42820 0
1063-42821 0
1063-42822 0
1063-42823 0
1063-42824 0
1063-42825 0
1063-42826 0
1063-42827 1
1063-42828 0
1063-42829 0
1063-42830 0
1063-42831 0
1063-42832 0
1063-42834 0
1063-42835 0
1063-42836 0
1063-42837 0
1063-42838 0
1063-42839 0
1063-42840 0
1063-42841 0
1063-42842 0
1063-42843 0
1063-42844 0
1063-42845 0
1063-42846 0
1063-42847 0
1063-42848 1
1063-42849 1
1063-42850 0
1063-42851 0
1063-42852 0
1063-42853 0
1063-42854 0
1063-42855 0
1063-42856 0
1063-42857 0
1063-42858 0
1063-42859 0
1063-42860 0
1063-42861 0
1063-42862 0
1063-42863 0
1063-42864 0
1063-42865 0
1063-42866 0
1063-42867 0
1063-42868 0
1063-42869 0
1063-42870 0
1063-42872 0
1063-42873 0
1063-42874 0
1063-42875 0
1063-42876 0
1063-42877 0
1063-42878 0
1063-42879 0
1063-42880 0
1063-42881 0
1063-42882 0
1063-42883 0
1063-42884 0
1063-42885 0
1063-42886 0
1063-42887 0
1063-42888 0
1063-42889 0
1063-42890 0
1063-42891 0
1063-42892 0
1063-42893 0
1063-42894 0
1063-42895 0
1063-42896 0
1063-42897 0
1063-42898 0
1063-42899 0
1063-42900 0
1063-42910 0
1063-42913 0
1063-42969 0
1063-43001 0
1063-43002 0
1063-43003 0
1063-43004 0
1063-43005 0
1063-43007 0
1063-43008 0
1063-43009 0
1063-43010 0
1063-43011 0
1063-43012 0
1063-43013 0
1063-43014 0
1063-43015 0
1063-43016 0
1063-43017 0
1063-43018 0
1063-43019 0
1063-43020 0
1063-43021 0
1063-43022 0
1063-43023 0
1063-43024 0
1063-43025 0
1063-43026 0
1063-43027 0
1063-43028 0
1063-43029 0
1063-43030 0
1063-43031 0
1063-43032 0
1063-43033 0
1063-43034 0
1063-43035 0
1063-43036 0
1063-43037 0
1063-43038 0
1063-43039 0
1063-43040 0
1063-43041 0
1063-43042 0
1063-43043 0
1063-43044 0
1063-43045 0
1063-43046 0
1063-43047 0
1063-43048 0
1063-43049 0
1063-43050 0
1063-43051 0
1063-43052 0
1063-43053 0
1063-43054 0
1063-43055 0
1063-43056 0
1063-43057 0
1063-43058 0
1063-43059 0
1063-43060 0
1063-43061 0
1063-43062 0
1063-43063 0
1063-43064 0
1063-43065 0
1063-43066 0
1063-43067 0
1063-43068 0
1063-43069 0
1063-43070 0
1063-43071 0
1063-43072 0
1063-43073 0
1063-43074 0
1063-43075 0
1063-43076 0
1063-43077 0
1063-43078 0
1063-43079 0
1063-43080 0
1063-43081 0
1063-43082 0
1063-43083 0
1063-43084 0
1063-43085 0
1063-43086 0
1063-43087 0
1063-43088 0
1063-43089 0
1063-43090 0
1063-43091 0
1063-43092 0
1063-43093 0
1063-43094 0
1063-43095 0
1063-43096 0
1063-43097 0
1063-43098 0
1063-43099 0
1063-43100 0
1063-43101 0
1063-43102 0
1063-43103 0
1063-43104 0
1063-43105 0
1063-43106 0
1063-43107 0
1063-43108 0
1063-43109 0
1063-43110 0
1063-43111 0
1063-43112 0
1063-43113 0
1063-43114 0
1063-43115 0
1063-43116 0
1063-43117 0
1063-43118 0
1063-43119 0
1063-43120 0
1063-43121 0
1063-43122 0
1063-43123 0
1063-43124 0
1063-43125 0
1063-43126 0
1063-43127 0
1063-43129 0
1063-43130 0
1063-43131 0
1063-43132 0
1063-43133 0
1063-43134 0
1063-43135 0
1063-43136 0
1063-43137 0
1063-43138 0
1063-43139 0
1063-43140 0
1063-43141 0
1063-43142 0
1063-43143 0
1063-43144 0
1063-43145 0
1063-43146 0
1063-43147 0
1063-43148 0
1063-43149 0
1063-43150 0
1063-43151 0
1063-43152 0
1063-43153 0
1063-43154 0
1063-43155 0
1063-43156 0
1063-43157 0
1063-43158 0
1063-43159 0
1063-43160 0
1063-43161 0
1063-43162 0
1063-43163 0
1063-43164 0
1063-43165 0
1063-43166 0
1063-43167 0
1063-43168 0
1063-43169 0
1063-43170 0
1063-43171 0
1063-43172 0
1063-43173 0
1063-43174 0
1063-43175 0
1063-43176 0
1063-43177 0
1063-43178 0
1063-43179 0
1063-43180 0
1063-43181 0
1063-43182 0
1063-43183 0
1063-43184 0
1063-43185 0
1063-43186 0
1063-43187 0
1063-43188 0
1063-43189 0
1063-43190 0
1063-43191 0
1063-43192 0
1063-43193 0
1063-43194 0
1063-43195 0
1063-43196 0
1063-43197 0
1063-43199 0
1063-43200 0
1063-43401 0
1063-43402 0
1063-43403 0
1063-43404 0
1063-43405 0
1063-43406 0
1063-43407 0
1063-43408 0
1063-43409 0
1063-43410 0
1063-43411 0
1063-43412 0
1063-43413 0
1063-43414 0
1063-43415 0
1063-43416 0
1063-43417 0
1063-43418 0
1063-43419 0
1063-43427 0
1063-43428 0
1063-43429 0
1063-43430 0
1063-43431 0
1063-43432 0
1063-43433 0
1063-43434 0
1063-43435 0
1063-43436 0
1063-43437 0
1063-43438 0
1063-43439 0
1063-43440 0
1063-43441 0
1063-43442 0
1063-43443 0
1063-43444 0
1063-43445 0
1063-43446 0
1063-43447 0
1063-43448 0
1063-43449 0
1063-43450 0
1063-43451 0
1063-43452 0
1063-43453 0
1063-43454 0
1063-43455 0
1063-43456 1
1063-43457 0
1063-43458 0
1063-43459 0
1063-43460 0
1063-43461 0
1063-43462 0
1063-43463 0
1063-43464 0
1063-43465 0
1063-43466 0
1063-43467 0
1063-43468 0
1063-43469 0
1063-43470 0
1063-43471 0
1063-43472 0
1063-43473 0
1063-43474 0
1063-43475 0
1063-43476 0
1063-43477 0
1063-43478 0
1063-43479 0
1063-43480 0
1063-43481 0
1063-43482 0
1063-43483 0
1063-43484 0
1063-43485 0
1063-43486 0
1063-43487 0
1063-43488 0
1063-43489 0
1063-43490 0
1063-43491 0
1063-43492 0
1063-43493 0
1063-43494 0
1063-43495 1
1063-43496 0
1063-43497 0
1063-43498 0
1063-43499 0
1063-43500 0
1063-43501 0
1063-43502 0
1063-43503 0
1063-43504 0
1063-43505 0
1063-43506 0
1063-43507 0
1063-43508 0
1063-43509 0
1063-43510 0
1063-43511 0
1063-43512 0
1063-43513 0
1063-43514 0
1063-43515 0
1063-43516 0
1063-43517 0
1063-43518 0
1063-43519 0
1063-43520 0
1063-43521 0
1063-43522 0
1063-43523 0
1063-43524 0
1063-43525 0
1063-43526 0
1063-43527 0
1063-43528 0
1063-43529 0
1063-43530 0
1063-43531 0
1063-43532 0
1063-43533 0
1063-43534 0
1063-43535 0
1063-43536 0
1063-43537 0
1063-43538 0
1063-43539 0
1063-43540 0
1063-43541 0
1063-43542 0
1063-43543 0
1063-43544 0
1063-43545 0
1063-43546 0
1063-43547 0
1063-43548 0
1063-43549 0
1063-43550 0
1063-43551 0
1063-43552 0
1063-43553 0
1063-43554 0
1063-43555 1
1063-43556 0
1063-43557 0
1063-43558 0
1063-43559 0
1063-43560 0
1063-43561 0
1063-43562 0
1063-43563 0
1063-43564 0
1063-43565 0
1063-43566 0
1063-43567 0
1063-43568 0
1063-43569 0
