Indiv NatalYear CoreNestling ImmCohort InclBr
1732 1991 Y NA N
1741 1991 N NA N
1742 1991 N NA N
1743 1991 N NA N
1748 1991 Y NA N
1749 1991 Y NA N
1750 1991 Y NA N
1751 1991 Y NA N
1759 NA N NA Y
1767 1991 Y NA Y
1768 1991 Y NA N
1769 1991 Y NA N
1770 1991 Y NA N
1788 1991 Y NA N
1789 1991 Y NA N
1790 1991 Y NA N
1794 1991 Y NA Y
1795 1991 Y NA N
1799 1991 Y NA N
1800 1991 Y NA N
1801 1991 Y NA N
1802 1991 Y NA Y
1803 1991 Y NA N
1804 1991 Y NA N
1805 1991 Y NA N
1806 1991 Y NA N
1807 1991 Y NA N
1808 1991 Y NA N
1809 1991 Y NA N
1810 1991 Y NA N
1819 NA N NA Y
1825 1991 Y NA N
1826 1991 Y NA N
1833 1991 N NA N
1834 1991 N NA N
1835 1991 N NA N
1836 1991 N NA N
1837 1991 N NA N
1838 1991 N NA N
1839 1991 N NA N
1840 1991 N NA N
1841 1991 N NA N
1842 1991 N NA N
1845 1991 N NA N
1846 1991 N NA N
1847 1991 N NA N
1848 NA N NA Y
1851 NA N NA Y
1856 1991 Y NA N
1857 1991 Y NA N
1858 1991 Y NA N
1862 1991 N NA Y
1863 1991 N NA N
1864 1991 N NA N
1865 1991 N NA Y
1866 1991 N NA N
1867 1991 N NA N
1870 1991 N NA N
1871 1991 N NA Y
1875 1991 N NA N
1876 1991 N NA N
1877 1991 N NA N
1879 1991 N NA Y
1880 1991 N NA Y
1883 1991 N NA N
1889 1992 Y NA N
1890 1992 Y NA N
1891 1992 Y NA N
1892 NA N 1991 Y
1893 NA N 1991 Y
1896 NA N 1991 Y
1899 NA N 1991 Y
1900 NA N 1991 Y
1905 NA N 1991 Y
1908 NA N 1991 Y
1911 NA N 1991 Y
1912 NA N 1992 Y
1913 NA N 1992 Y
1915 NA N 1991 Y
1916 NA N 1991 Y
1917 NA N 1991 Y
1920 NA N 1991 Y
1921 NA N 1991 Y
1922 NA N 1991 Y
1924 NA N 1991 Y
1929 NA N 1992 Y
1930 NA N 1991 Y
1931 NA N 1991 Y
1933 NA N 1991 Y
1938 1993 N NA N
1939 1993 N NA N
1941 NA N 1991 Y
1942 1993 N NA N
1943 1993 N NA N
1944 1993 N NA N
1945 1993 N NA N
1948 1993 N NA N
1949 1993 N NA N
1950 1993 N NA N
1958 1993 N NA N
1959 1993 N NA N
1966 1993 N NA N
1967 1993 N NA N
1968 1993 N NA N
1969 1993 N NA N
1970 1993 N NA N
1972 1993 N NA N
1973 1993 N NA N
1974 1993 N NA N
1975 1993 N NA N
1976 1993 N NA N
1977 1993 N NA Y
1978 1993 N NA N
1982 1993 N NA Y
1983 1993 N NA N
1984 1993 N NA N
1985 1993 N NA N
1986 1993 N NA N
1987 1993 N NA N
1989 NA N 1993 N
2011 1993 Y NA Y
2012 1993 Y NA N
2013 1993 Y NA Y
2014 1993 Y NA Y
2024 1993 Y NA N
2025 1993 Y NA N
2038 1993 Y NA N
2039 1993 Y NA N
2040 1993 Y NA N
2041 1993 Y NA N
2042 1993 Y NA N
2043 1993 Y NA N
2044 1993 Y NA N
2054 1993 Y NA N
2055 1993 Y NA Y
2056 1993 Y NA N
2057 1993 Y NA N
2058 1993 Y NA N
2059 1993 Y NA N
2062 NA N 1991 Y
2063 1993 Y NA N
2064 1993 Y NA N
2065 1993 Y NA Y
2066 1993 Y NA Y
2067 NA N 1991 Y
2068 1993 Y NA Y
2069 1993 Y NA N
2070 1993 Y NA N
2077 1993 Y NA Y
2078 1993 Y NA N
2092 1993 N NA N
2093 1993 N NA N
2094 1993 N NA N
2095 1993 N NA N
2096 1993 N NA N
2099 1993 N NA Y
2100 1993 N NA N
2101 1993 N NA Y
2102 1993 N NA Y
2117 1993 N NA N
2118 1993 N NA N
2119 1993 N NA N
2120 1993 N NA Y
2126 1993 N NA N
2138 1993 N NA N
2139 1993 N NA N
2140 1993 N NA N
2141 NA N 1991 Y
2149 1993 Y NA Y
2150 1993 Y NA N
2151 1993 Y NA Y
2155 1993 Y NA Y
2156 1993 Y NA N
2161 1993 Y NA N
2162 1993 Y NA N
2170 1993 Y NA N
2172 NA N 1993 Y
2173 NA N 1992 Y
2175 NA N 1992 Y
6909 NA N 1992 Y
2179 NA N 1992 Y
2180 NA N 1992 Y
2185 NA N 1993 Y
6891 NA N 1991 N
6892 NA N 1991 N
2186 NA N NA Y
2187 NA N 1993 Y
2191 NA N 1992 Y
2192 NA N 1992 Y
2193 NA N 1992 Y
2207 NA N 1993 Y
2208 1994 Y NA N
2209 1994 Y NA N
2210 1994 Y NA N
2211 1994 Y NA Y
2212 1994 Y NA Y
2213 1994 Y NA Y
2228 1994 Y NA Y
2229 1994 Y NA N
2230 1994 Y NA N
2232 1994 Y NA N
2233 1994 Y NA N
2234 1994 Y NA N
2235 1994 Y NA N
2236 1994 Y NA Y
2237 1994 Y NA Y
2238 1994 Y NA N
2239 1994 Y NA N
2240 1994 Y NA Y
2241 1994 Y NA N
2242 1994 Y NA Y
2260 1994 Y NA N
2261 1994 Y NA N
2262 1994 Y NA N
2266 1994 Y NA Y
2267 1994 Y NA Y
2281 1994 Y NA N
2282 1994 Y NA N
2283 1994 Y NA Y
2289 NA N 1992 Y
2290 NA N 1992 Y
2292 NA N 1993 Y
2294 NA N 1993 Y
2296 1993 N NA N
2303 NA N 1993 Y
2307 NA N 1992 Y
2308 NA N 1992 Y
2312 1994 N NA N
2313 1994 N NA N
2321 1994 N NA N
2329 1994 N NA N
2330 1994 N NA N
2331 NA N 1992 Y
2338 1994 N NA N
2339 1994 N NA N
2340 1994 N NA N
2351 1994 N NA N
2352 1994 N NA N
2357 1994 N NA Y
2358 1994 N NA N
2359 1994 N NA N
2360 1994 N NA N
2361 1994 N NA N
2362 1994 N NA Y
2363 1994 N NA N
2364 1994 N NA Y
2373 1994 N NA N
2374 1994 N NA Y
2375 1994 N NA N
2376 1994 N NA N
2377 1994 N NA N
2378 1994 N NA N
2387 1994 N NA N
2388 1994 N NA N
2390 1994 N NA N
2398 1994 N NA N
2399 1994 N NA N
2400 1994 N NA N
2409 1994 N NA N
2410 1994 N NA N
2411 1994 N NA N
2412 1994 N NA N
2413 1994 Y NA N
2414 1994 Y NA N
2417 1994 Y NA N
2418 1994 Y NA N
2428 1994 Y NA Y
2429 1994 Y NA Y
2432 1994 N NA N
2433 1994 N NA Y
2434 1994 Y NA N
2443 NA N 1994 Y
2445 NA N 1993 Y
2449 NA N 1994 Y
6893 NA N 1992 N
6894 NA N 1992 N
2450 NA N NA Y
2453 NA N 1994 Y
2454 NA N 1994 Y
2455 NA N 1994 Y
2459 NA N 1993 Y
2462 NA N 1993 Y
2464 NA N 1993 Y
2477 NA N 1993 Y
2480 NA N 1994 Y
2482 1994 N NA Y
2492 NA N 1994 Y
2493 NA N 1994 Y
2496 1995 N NA N
2497 1995 N NA N
2498 1995 N NA N
2499 1995 N NA Y
2500 NA N 1993 Y
2519 1995 Y NA N
2520 1995 Y NA N
2521 1995 Y NA N
2527 NA N 1994 Y
6924 NA N 1992 N
2529 1995 Y NA N
2530 1995 Y NA N
2531 NA N 1994 Y
2534 1995 Y NA N
2535 1995 Y NA N
2536 1995 Y NA Y
2537 1995 Y NA N
2538 1995 Y NA N
2539 1995 Y NA N
2540 1995 Y NA N
2549 1995 Y NA N
2550 1995 Y NA N
2551 1995 Y NA N
2559 1995 Y NA N
2560 1995 Y NA N
2564 NA N 1994 Y
2565 NA N 1993 Y
2569 1995 Y NA N
2570 1995 Y NA Y
2571 1995 Y NA N
2572 NA N 1994 Y
2574 1995 N NA N
2575 1995 N NA N
2577 NA N 1994 Y
2579 1995 N NA N
2581 NA N 1994 Y
2587 1995 N NA Y
2588 NA N 1994 Y
2590 1995 N NA Y
2591 1995 N NA Y
2592 NA N 1994 Y
2594 NA N 1994 Y
2607 NA N 1993 Y
2608 NA N 1994 Y
2612 NA N 1995 Y
2613 NA N 1995 Y
2617 NA N 1995 Y
2619 NA N 1994 Y
2624 NA N 1994 Y
2625 NA N 1994 Y
2626 NA N 1994 Y
2627 NA N 1995 Y
2633 NA N 1994 Y
2634 NA N 1994 Y
2635 NA N 1994 Y
2636 NA N 1994 Y
6898 NA N 1993 N
2641 1996 Y NA N
2642 1996 Y NA N
2643 1996 Y NA N
2644 1996 Y NA N
2645 1996 Y NA N
2646 1996 Y NA N
2647 1996 Y NA N
2648 1996 Y NA N
2649 1996 Y NA N
2656 1996 Y NA N
2657 1996 Y NA N
2658 1996 Y NA N
2659 1996 Y NA N
2669 1996 Y NA N
2670 1996 Y NA N
2671 1996 Y NA Y
2675 1996 Y NA Y
2676 1996 Y NA N
2677 1996 Y NA Y
2678 1996 Y NA N
2688 1996 Y NA Y
2689 1996 Y NA Y
2693 1996 Y NA N
2714 1996 Y NA N
2715 1996 Y NA N
2716 1996 Y NA N
2717 1996 Y NA N
2718 1996 Y NA N
2719 1996 Y NA N
2737 1996 Y NA N
2738 1996 Y NA Y
2739 1996 Y NA N
2740 1996 Y NA N
2741 1996 Y NA Y
2756 1996 Y NA N
2757 1996 Y NA N
2758 1996 Y NA N
2759 1996 Y NA N
2771 NA N 1994 Y
2772 1996 Y NA N
2773 1996 Y NA N
2782 NA N 1995 Y
2784 NA N 1996 N
2790 1997 N NA N
2791 1997 N NA N
2792 1997 N NA N
2793 1997 N NA N
2794 1997 N NA Y
2795 1997 N NA N
2796 1997 N NA N
2797 1997 N NA N
2806 1997 N NA N
2807 1997 N NA N
2808 1997 N NA N
2811 1997 N NA N
2812 1997 N NA N
2813 1997 N NA N
2814 1997 N NA N
2844 1997 N NA N
2845 1997 N NA N
2846 1997 N NA N
2847 1997 N NA N
2850 NA N 1995 Y
2852 1997 N NA N
2853 1997 N NA N
2855 NA N 1995 Y
2859 NA N 1995 Y
2864 1997 N NA N
2865 1997 N NA N
2866 1997 N NA N
2867 1997 N NA N
2869 1997 N NA N
2872 1997 N NA N
2873 1997 N NA N
2876 NA N NA Y
2878 NA N 1996 Y
2883 1990 N NA Y
2884 NA N 1996 Y
2885 NA N 1997 Y
2886 1996 N NA N
2887 1996 N NA N
2888 1996 N NA N
2889 1996 N NA N
2890 1996 N NA N
2891 1996 N NA N
2892 NA N 1994 Y
2894 NA N 1995 Y
2899 NA N 1994 Y
2900 NA N 1994 Y
2901 NA N 1994 Y
2902 NA N 1995 Y
2903 NA N 1995 Y
2920 1996 N NA N
2921 1996 N NA N
2922 1996 N NA Y
2923 1996 N NA N
2932 1996 N NA N
2933 1996 N NA N
2934 1996 N NA N
2935 1996 N NA N
2938 1996 N NA N
2940 1996 N NA Y
2941 1996 N NA N
2947 1996 N NA N
2948 1996 N NA N
2949 1996 N NA N
2950 1996 N NA Y
2951 NA N NA Y
2953 NA N 1995 Y
2954 NA N 1995 Y
2969 1997 N NA Y
2970 1997 N NA N
2971 1997 N NA N
2972 1997 N NA N
2976 1997 N NA N
2977 1997 N NA N
2978 1997 N NA N
3010 1999 Y NA N
3011 1999 Y NA N
3012 1999 Y NA N
3013 1999 Y NA N
3014 1999 Y NA N
3015 1999 Y NA N
3021 1999 Y NA Y
3022 1999 Y NA N
3023 1999 Y NA N
3024 1999 Y NA N
3025 1999 Y NA Y
3026 1999 Y NA Y
3027 1999 Y NA N
3028 1999 Y NA N
3029 1999 Y NA N
3030 1999 Y NA N
3041 1999 Y NA N
3043 1999 Y NA N
3044 1999 Y NA N
3045 1999 Y NA N
3052 1999 Y NA N
3076 NA N 1998 Y
3077 1999 Y NA N
3078 1999 Y NA N
3082 1999 Y NA Y
3083 1999 Y NA N
3084 1999 Y NA N
3085 1999 Y NA N
3086 1999 Y NA N
3087 1999 Y NA N
3088 1999 Y NA N
3107 1999 N NA N
3108 1999 N NA Y
3109 1999 N NA N
3110 1999 N NA N
3111 1999 N NA N
3112 1999 N NA N
3113 1999 N NA N
3124 1999 N NA N
3125 1999 N NA N
3135 1999 N NA N
3139 1999 N NA N
3140 1999 N NA N
3141 1999 N NA N
3142 1999 N NA N
3143 1999 N NA N
3144 1999 N NA N
3145 1999 N NA Y
3149 1999 N NA Y
3157 1999 N NA N
3165 1999 N NA N
3166 1999 N NA N
3167 1999 N NA N
3168 1999 N NA N
3171 NA N 1997 Y
3181 NA N 1997 Y
3182 1999 N NA N
3183 NA N NA Y
3187 1999 N NA N
3188 1999 N NA Y
3189 1999 N NA N
3193 1999 N NA N
3194 1999 N NA N
3195 1999 N NA Y
3196 1999 N NA N
